lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
13.069,-59.56,342,600,11521,1023149,,1000,1,1,UMTS,,,,,,
13.069,-59.561,342,600,300,1013338,,1000,1,1,UMTS,,,,,,
13.07,-59.568,342,600,302,1013339,,1000,1,1,UMTS,,,,,,
13.07,-59.569,342,600,19,1031427,,1000,1,1,LTE,,,19,,,
13.066,-59.55,342,600,302,1013148,,1000,1,1,UMTS,,,,,,
13.066,-59.551,342,600,11521,1013148,,1000,1,1,UMTS,,,,,,
13.066,-59.552,342,600,301,1013148,,1000,1,1,UMTS,,,,,,
13.066,-59.551,342,600,11265,1013148,,1000,1,1,UMTS,,,,,,
13.067,-59.56,342,600,302,1023149,,1000,1,1,UMTS,,,,,,
13.067,-59.557,338,5,56150,64653,,4263,1,1,UMTS,,,,,,
13.067,-59.557,338,5,3511,97611,,4263,1,1,UMTS,,,,,,
13.068,-59.558,342,600,11521,1013149,,1000,1,1,UMTS,,,,,,
13.068,-59.556,342,600,11521,1023148,,1000,1,1,UMTS,,,,,,
13.068,-59.556,342,600,11265,1023148,,1000,1,1,UMTS,,,,,,
13.068,-59.555,342,600,56150,64355,,1000,1,1,GSM,,,,,,
13.068,-59.555,342,600,56150,64073,,1000,1,1,GSM,,,,,,
13.068,-59.555,342,600,56150,64075,,1000,1,1,GSM,,,,,,
13.068,-59.555,342,600,56150,64072,,1000,1,1,GSM,,,,,,
13.068,-59.56,342,600,301,1023149,,1000,1,1,UMTS,,,,,,
13.068,-59.56,342,600,302,1013149,,1000,1,1,UMTS,,,,,,
13.069,-59.56,342,600,300,1023149,,1000,1,1,UMTS,,,,,,
13.069,-59.559,342,600,11777,1013149,,1000,1,1,UMTS,,,,,,
13.069,-59.558,342,600,302,357789,,1000,1,1,UMTS,,,,,,
13.069,-59.559,342,600,300,30212,,1748,1,1,GSM,,,,,,
13.062,-59.541,342,600,300,358808,,1000,1,1,UMTS,,,,,,
13.063,-59.542,342,600,301,357838,,1000,1,1,UMTS,,,,,,
13.063,-59.544,342,600,11777,1023148,,1000,1,1,UMTS,,,,,,
13.063,-59.542,342,600,301,1023199,,1000,1,1,UMTS,,,,,,
13.063,-59.542,342,600,11521,1013199,,1000,1,1,UMTS,,,,,,
13.063,-59.542,342,600,11265,1023199,,1000,1,1,UMTS,,,,,,
